sector,ticker,status,n,start,end,nan_close
NIFTY_500,^CRSLDX,OK,5160,2005-09-26,2026-09-18,0
NIFTY_50,^NSEI,OK,4663,2007-09-17,2026-09-18,0
NIFTY_AUTO,^CNXAUTO,OK,1,2026-09-18,2026-09-18,0
NIFTY_BANK,^NSEBANK,OK,4678,2007-09-17,2026-09-18,0
NIFTY_FIN_SERVICE,NIFTY_FIN_SERVICE.NS,OK,1,2026-09-18,2026-09-18,0
NIFTY_FIN_SERVICE,^CNXFIN,OK,1,2026-09-18,2026-09-18,0
NIFTY_FMCG,^CNXFMCG,OK,1,2026-09-18,2026-09-18,0
NIFTY_IT,^CNXIT,OK,4678,2007-09-17,2026-09-18,0
NIFTY_MEDIA,^CNXMEDIA,OK,1,2026-09-18,2026-09-18,0
NIFTY_METAL,^CNXMETAL,OK,1,2026-09-18,2026-09-18,0
NIFTY_PHARMA,^CNXPHARMA,OK,3850,2011-01-31,2026-09-18,0
NIFTY_PSU_BANK,^CNXPSUBANK,OK,1,2026-09-18,2026-09-18,0
NIFTY_PVT_BANK,NIFTY_PVT_BANK.NS,OK,1,2026-09-18,2026-09-18,0
NIFTY_PVT_BANK,^NIFTYPVTBANK,EMPTY,0,,,0
NIFTY_REALTY,^CNXREALTY,OK,1,2026-09-18,2026-09-18,0
NIFTY_ENERGY,^CNXENERGY,OK,1,2026-09-18,2026-09-18,0
NIFTY_INFRA,^CNXINFRA,OK,1,2026-09-18,2026-09-18,0
NIFTY_HEALTHCARE,NIFTY_HEALTHCARE.NS,OK,1,2026-09-18,2026-09-18,0
NIFTY_HEALTHCARE,^CNXHEALTHCARE,EMPTY,0,,,0
NIFTY_CONSR_DURBL,NIFTY_CONSR_DURBL.NS,OK,1,2026-09-18,2026-09-18,0
NIFTY_OIL_AND_GAS,NIFTY_OIL_AND_GAS.NS,OK,1,2026-09-18,2026-09-18,0
NIFTY_COMMODITIES,^CNXCMDT,OK,1,2026-09-18,2026-09-18,0
NIFTY_CONSUMPTION,^CNXCONSUM,OK,1,2026-09-18,2026-09-18,0
NIFTY_PSE,^CNXPSE,OK,1,2026-09-18,2026-09-18,0
NIFTY_SERV_SECTOR,^CNXSERVICE,OK,1,2026-09-18,2026-09-18,0
NIFTY_MNC,^CNXMNC,OK,1,2026-09-18,2026-09-18,0
