date,NIFTY CONSTRUCTION
2005-04-01,1000.0
2005-04-04,1026.72
2005-04-05,1020.16
2005-04-06,1019.21
2005-04-07,1006.03
2005-04-08,992.91
2005-04-11,971.92
2005-04-12,979.54
2005-04-13,980.33
2005-04-15,957.74
2005-04-18,964.41
2005-04-19,970.64
2005-04-20,983.35
2005-04-21,1009.95
2005-04-22,1021.39
2005-04-25,1023.28
2005-04-26,1027.11
2005-04-27,1018.46
2005-04-28,1023.97
2005-04-29,1017.9
2005-05-02,1010.26
2005-05-03,1013.25
2005-05-04,1021.47
2005-05-05,1040.86
2005-05-06,1047.43
2005-05-09,1068.83
2005-05-10,1072.32
2005-05-11,1071.0
2005-05-12,1092.41
2005-05-13,1117.56
2005-05-16,1139.3
2005-05-17,1132.15
2005-05-18,1149.6
2005-05-19,1158.97
2005-05-20,1167.25
2005-05-23,1169.85
2005-05-24,1167.1
2005-05-25,1165.97
2005-05-26,1171.01
2005-05-27,1154.09
2005-05-30,1130.63
2005-05-31,1129.51
2005-06-01,1150.42
2005-06-02,1158.21
2005-06-03,1169.26
2005-06-04,1167.39
2005-06-06,1166.65
2005-06-07,1168.01
2005-06-08,1179.5
2005-06-09,1179.85
2005-06-10,1166.95
2005-06-13,1167.03
2005-06-14,1180.4
2005-06-15,1181.6
2005-06-16,1170.73
2005-06-17,1154.11
2005-06-20,1125.85
2005-06-21,1135.15
2005-06-22,1147.42
2005-06-23,1143.87
2005-06-24,1146.59
2005-06-27,1151.68
2005-06-28,1121.13
2005-06-29,1137.12
2005-06-30,1132.86
2005-07-01,1146.13
2005-07-04,1149.66
2005-07-05,1153.41
2005-07-06,1168.28
2005-07-07,1162.74
2005-07-08,1180.23
2005-07-11,1195.79
2005-07-12,1203.29
2005-07-13,1222.34
2005-07-14,1214.77
2005-07-15,1224.69
2005-07-18,1244.61
2005-07-19,1244.91
2005-07-20,1243.44
2005-07-21,1233.86
2005-07-22,1261.27
2005-07-25,1270.74
2005-07-26,1264.33
2005-07-27,1263.62
2005-07-29,1270.67
2005-08-01,1277.33
2005-08-02,1307.65
2005-08-03,1327.23
2005-08-04,1365.09
2005-08-05,1390.41
2005-08-08,1364.87
2005-08-09,1366.05
2005-08-10,1385.02
2005-08-11,1410.04
2005-08-12,1437.52
2005-08-16,1475.61
2005-08-17,1507.36
2005-08-18,1522.65
2005-08-19,1547.23
2005-08-22,1543.75
2005-08-23,1504.09
2005-08-24,1514.98
2005-08-25,1543.69
2005-08-26,1562.59
2005-08-29,1579.09
2005-08-30,1590.73
2005-08-31,1608.38
2005-09-01,1617.91
2005-09-02,1612.3
2005-09-05,1618.71
2005-09-06,1617.7
2005-09-08,1613.89
2005-09-09,1606.55
2005-09-12,1621.63
2005-09-13,1641.13
2005-09-14,1641.05
2005-09-15,1653.17
2005-09-16,1658.87
2005-09-19,1669.05
2005-09-20,1671.78
2005-09-21,1651.8
2005-09-22,1598.95
2005-09-23,1599.78
2005-09-26,1646.56
2005-09-27,1704.88
2005-09-28,1737.54
2005-09-29,1772.56
2005-09-30,1746.45
2005-10-03,1765.34
2005-10-04,1805.12
2005-10-05,1788.38
2005-10-06,1750.35
2005-10-07,1748.0
2005-10-10,1765.32
2005-10-11,1737.98
2005-10-13,1709.2
2005-10-14,1639.24
2005-10-17,1639.24
2005-10-18,1635.84
2005-10-19,1584.89
2005-10-20,1538.2
2005-10-21,1564.21
2005-10-24,1571.48
2005-10-25,1588.34
2005-10-26,1589.92
2005-10-27,1568.33
2005-10-28,1538.69
2005-10-31,1584.55
2005-11-01,1600.57
2005-11-02,1635.28
2005-11-07,1668.21
2005-11-08,1699.57
2005-11-09,1698.01
2005-11-10,1697.5
2005-11-11,1731.88
2005-11-14,1741.45
2005-11-16,1754.63
2005-11-17,1759.45
2005-11-18,1772.34
2005-11-21,1765.94
2005-11-22,1762.49
2005-11-23,1769.63
2005-11-24,1769.41
2005-11-25,1797.74
2005-11-26,1838.1
2005-11-28,1861.45
2005-11-29,1863.72
2005-11-30,1860.63
2005-12-01,1896.37
2005-12-02,1909.61
2005-12-05,1894.72
2005-12-06,1901.98
2005-12-07,1914.55
2005-12-08,1913.73
2005-12-09,1943.88
2005-12-12,1973.18
2005-12-13,2002.76
2005-12-14,1985.6
2005-12-15,1940.62
2005-12-16,1941.87
2005-12-19,1960.86
2005-12-20,1953.34
2005-12-21,1978.04
2005-12-22,1967.5
2005-12-23,1985.29
2005-12-26,1967.54
2005-12-27,1994.37
2005-12-28,1991.74
2005-12-29,2014.66
2005-12-30,2040.94
2006-01-02,2072.72
2006-01-03,2116.98
2006-01-04,2123.45
2006-01-05,2134.86
2006-01-06,2167.08
2006-01-09,2195.2
2006-01-10,2190.5
2006-01-12,2244.0
2006-01-13,2291.58
2006-01-16,2300.62
2006-01-17,2324.62
2006-01-18,2298.15
2006-01-19,2364.53
2006-01-20,2394.81
2006-01-23,2402.21
2006-01-24,2430.19
2006-01-25,2456.53
2006-01-27,2498.31
2006-01-30,2453.54
2006-01-31,2472.82
2006-02-01,2492.71
2006-02-02,2456.8
2006-02-03,2455.48
2006-02-06,2490.79
2006-02-07,2526.53
2006-02-08,2478.95
2006-02-10,2521.75
2006-02-13,2571.53
2006-02-14,2531.44
2006-02-15,2528.18
2006-02-16,2522.08
2006-02-17,2501.2
2006-02-20,2465.76
2006-02-21,2521.51
2006-02-22,2511.8
2006-02-23,2508.03
2006-02-24,2500.53
2006-02-27,2553.07
2006-02-28,2555.86
2006-03-01,2614.06
2006-03-02,2710.42
2006-03-03,2764.5
2006-03-06,2802.25
2006-03-07,2821.33
2006-03-08,2771.66
2006-03-09,2798.03
2006-03-10,2849.4
2006-03-13,2879.75
2006-03-14,2864.23
2006-03-16,2881.53
2006-03-17,2860.56
2006-03-20,2879.26
2006-03-21,2900.58
2006-03-22,2867.01
2006-03-23,2895.44
2006-03-24,2938.86
2006-03-27,3001.79
2006-03-28,2971.33
2006-03-29,3000.33
2006-03-30,3007.31
2006-03-31,3017.75
2006-04-03,3090.62
2006-04-04,3146.46
2006-04-05,3175.53
2006-04-07,3169.01
2006-04-10,3186.87
2006-04-12,3147.21
2006-04-13,3070.92
2006-04-17,3155.16
2006-04-18,3229.63
2006-04-19,3243.93
2006-04-20,3275.0
2006-04-21,3331.74
2006-04-24,3384.94
2006-04-25,3389.97
2006-04-26,3466.93
2006-04-27,3506.11
2006-04-28,3497.54
2006-04-29,3587.84
2006-05-02,3631.79
2006-05-03,3623.33
2006-05-04,3648.98
2006-05-05,3677.87
2006-05-08,3708.96
2006-05-09,3751.21
2006-05-10,3817.87
2006-05-11,3849.05
2006-05-12,3909.07
2006-05-15,3854.62
2006-05-16,3764.0
2006-05-17,3913.74
2006-05-18,3678.41
2006-05-19,3523.08
2006-05-22,3326.2
2006-05-23,3364.62
2006-05-24,3364.66
2006-05-25,3387.66
2006-05-26,3492.93
2006-05-29,3581.21
2006-05-30,3632.56
2006-05-31,3580.29
2006-06-01,3524.14
2006-06-02,3423.37
2006-06-05,3337.06
2006-06-06,3185.98
2006-06-07,2980.07
2006-06-08,2779.57
2006-06-09,2850.39
2006-06-12,2742.86
2006-06-13,2595.96
2006-06-14,2490.15
2006-06-15,2580.83
2006-06-16,2678.99
2006-06-19,2721.81
2006-06-20,2730.49
2006-06-21,2831.42
2006-06-22,2927.4
2006-06-23,2963.03
2006-06-25,3039.1
2006-06-26,2966.23
2006-06-27,2964.79
2006-06-28,3000.63
2006-06-29,3070.48
2006-06-30,3234.07
2006-07-03,3288.36
2006-07-04,3278.42
2006-07-05,3350.62
2006-07-06,3346.23
2006-07-07,3329.67
2006-07-10,3282.44
2006-07-11,3228.63
2006-07-12,3234.04
2006-07-13,3199.02
2006-07-14,3124.01
2006-07-17,2996.25
2006-07-18,2885.73
2006-07-19,2750.9
2006-07-20,2769.21
2006-07-21,2663.3
2006-07-24,2644.68
2006-07-25,2760.39
2006-07-26,2843.58
2006-07-27,2929.93
2006-07-28,2951.81
2006-07-31,3010.18
2006-08-01,2965.54
2006-08-02,3012.72
2006-08-03,3040.97
2006-08-04,3010.49
2006-08-07,2987.93
2006-08-08,3059.31
2006-08-09,3126.58
2006-08-10,3215.12
2006-08-11,3250.08
2006-08-14,3362.12
2006-08-16,3455.06
2006-08-17,3412.96
2006-08-18,3423.9
2006-08-21,3433.17
2006-08-22,3427.89
2006-08-23,3327.9
2006-08-24,3312.32
2006-08-25,3352.0
2006-08-28,3370.82
2006-08-29,3361.27
2006-08-30,3321.96
2006-08-31,3307.38
2006-09-01,3319.2
2006-09-04,3427.99
2006-09-05,3520.56
2006-09-06,3648.55
2006-09-07,3626.52
2006-09-08,3661.45
2006-09-11,3531.17
2006-09-12,3580.76
2006-09-13,3691.54
2006-09-14,3736.0
2006-09-15,3767.38
2006-09-18,3761.11
2006-09-19,3710.19
2006-09-20,3784.14
2006-09-21,3812.14
2006-09-22,3764.08
2006-09-25,3784.3
2006-09-26,3839.88
2006-09-27,3885.36
2006-09-28,3847.8
2006-09-29,3944.83
2006-10-03,4017.06
2006-10-04,3976.14
2006-10-05,4115.68
2006-10-06,4138.43
2006-10-09,4120.77
2006-10-10,4084.13
2006-10-11,3991.3
2006-10-12,4067.8
2006-10-13,4111.06
2006-10-16,4114.15
2006-10-17,4108.64
2006-10-18,4088.97
2006-10-19,4114.16
2006-10-20,4195.46
2006-10-21,4261.6
2006-10-23,4216.75
2006-10-26,4248.04
2006-10-27,4325.87
2006-10-30,4328.92
2006-10-31,4299.26
2006-11-01,4281.12
2006-11-02,4370.26
2006-11-03,4469.29
2006-11-06,4526.73
2006-11-07,4534.27
2006-11-08,4464.16
2006-11-09,4486.81
2006-11-10,4593.52
2006-11-13,4702.15
2006-11-14,4737.1
2006-11-15,4832.99
2006-11-16,4853.04
2006-11-17,4723.31
2006-11-20,4748.44
2006-11-21,4916.48
2006-11-22,5047.47
2006-11-23,5156.49
2006-11-24,5153.8
2006-11-27,5183.85
2006-11-28,5080.76
2006-11-29,5152.51
2006-11-30,5123.25
2006-12-01,5168.55
2006-12-04,5240.94
2006-12-05,5249.82
2006-12-06,5127.34
2006-12-07,5157.03
2006-12-08,5069.63
2006-12-11,4945.13
2006-12-12,4630.4
2006-12-13,4832.64
2006-12-14,5049.21
2006-12-15,5069.63
2006-12-18,5037.74
2006-12-19,4908.43
2006-12-20,4823.05
2006-12-21,4813.81
2006-12-22,4913.64
2006-12-26,4987.78
2006-12-27,4968.45
2006-12-28,4959.52
2006-12-29,5005.32
2007-01-02,5079.35
2007-01-03,5183.22
2007-01-04,5220.05
2007-01-05,5172.98
2007-01-08,5077.93
2007-01-09,4989.2
2007-01-10,4859.33
2007-01-11,4963.65
2007-01-12,4991.83
2007-01-15,5043.78
2007-01-16,5067.78
2007-01-17,5170.77
2007-01-18,5193.3
2007-01-19,5135.8
2007-01-22,5131.25
2007-01-23,5026.54
2007-01-24,5057.52
2007-01-25,5105.4
2007-01-29,5111.32
2007-01-31,5082.33
2007-02-01,5095.09
2007-02-02,5184.77
2007-02-05,5158.4
2007-02-06,5179.91
2007-02-07,5209.1
2007-02-08,5180.82
2007-02-09,5093.89
2007-02-12,4823.57
2007-02-13,4688.82
2007-02-14,4598.61
2007-02-15,4782.41
2007-02-19,4784.55
2007-02-20,4751.66
2007-02-21,4708.54
2007-02-22,4632.71
2007-02-23,4463.58
2007-02-26,4469.79
2007-02-27,4536.37
2007-02-28,4199.62
2007-03-01,4239.65
2007-03-02,4104.46
2007-03-05,3868.44
2007-03-06,3967.87
2007-03-07,3895.84
2007-03-08,4044.47
2007-03-09,4026.3
2007-03-12,4119.09
2007-03-13,4251.31
2007-03-14,4171.44
2007-03-15,4234.4
2007-03-16,4193.92
2007-03-19,4198.36
2007-03-20,4241.11
2007-03-21,4272.87
2007-03-22,4361.47
2007-03-23,4345.16
2007-03-26,4289.71
2007-03-28,4229.72
2007-03-29,4250.75
2007-03-30,4262.19
2007-04-02,4024.62
2007-04-03,3987.72
2007-04-04,4009.13
2007-04-05,4046.85
2007-04-09,4171.01
2007-04-10,4180.97
2007-04-11,4188.36
2007-04-12,4137.49
2007-04-13,4228.9
2007-04-16,4329.94
2007-04-17,4315.06
2007-04-18,4314.89
2007-04-19,4322.01
2007-04-20,4443.95
2007-04-23,4493.37
2007-04-24,4658.37
2007-04-25,4746.22
2007-04-26,4720.57
2007-04-27,4593.79
2007-04-30,4666.43
2007-05-03,4726.66
2007-05-04,4710.45
2007-05-07,4654.46
2007-05-08,4643.46
2007-05-09,4721.6
2007-05-10,4705.63
2007-05-11,4727.47
2007-05-14,4802.13
2007-05-15,4828.23
2007-05-16,5077.79
2007-05-17,5157.16
2007-05-18,5189.37
2007-05-21,5166.4
2007-05-22,5196.46
2007-05-23,5154.94
2007-05-24,5138.39
2007-05-25,5156.15
2007-05-28,5338.73
