date,NIFTY CONSUMER DURABLES
2005-04-01,1000.0
2005-04-04,1009.19
2005-04-05,1007.23
2005-04-06,1015.72
2005-04-07,1021.98
2005-04-08,1010.25
2005-04-11,1005.18
2005-04-12,1015.88
2005-04-13,1009.9
2005-04-15,991.16
2005-04-18,998.72
2005-04-19,996.42
2005-04-20,1013.98
2005-04-21,1042.16
2005-04-22,1062.77
2005-04-25,1072.74
2005-04-26,1082.35
2005-04-27,1072.84
2005-04-28,1067.21
2005-04-29,1052.62
2005-05-02,1052.22
2005-05-03,1060.77
2005-05-04,1083.34
2005-05-05,1081.85
2005-05-06,1097.21
2005-05-09,1118.29
2005-05-10,1138.94
2005-05-11,1146.05
2005-05-12,1185.88
2005-05-13,1208.32
2005-05-16,1232.71
2005-05-17,1201.64
2005-05-18,1201.88
2005-05-19,1217.62
2005-05-20,1216.94
2005-05-23,1240.61
2005-05-24,1239.66
2005-05-25,1252.94
2005-05-26,1246.57
2005-05-27,1240.34
2005-05-30,1220.38
2005-05-31,1224.2
2005-06-01,1241.02
2005-06-02,1246.08
2005-06-03,1254.29
2005-06-04,1260.25
2005-06-06,1264.59
2005-06-07,1257.49
2005-06-08,1260.94
2005-06-09,1272.98
2005-06-10,1281.69
2005-06-13,1298.82
2005-06-14,1298.15
2005-06-15,1306.95
2005-06-16,1301.75
2005-06-17,1279.88
2005-06-20,1257.38
2005-06-21,1261.92
2005-06-22,1259.95
2005-06-23,1259.3
2005-06-24,1277.26
2005-06-27,1274.8
2005-06-28,1252.88
2005-06-29,1267.22
2005-06-30,1267.23
2005-07-01,1279.04
2005-07-04,1296.17
2005-07-05,1295.48
2005-07-06,1318.44
2005-07-07,1314.13
2005-07-08,1350.19
2005-07-11,1406.52
2005-07-12,1458.5
2005-07-13,1474.53
2005-07-14,1439.99
2005-07-15,1451.42
2005-07-18,1479.87
2005-07-19,1477.39
2005-07-20,1474.85
2005-07-21,1474.58
2005-07-22,1480.17
2005-07-25,1481.47
2005-07-26,1499.02
2005-07-27,1513.3
2005-07-29,1497.57
2005-08-01,1511.59
2005-08-02,1571.77
2005-08-03,1558.11
2005-08-04,1556.16
2005-08-05,1580.79
2005-08-08,1552.34
2005-08-09,1534.91
2005-08-10,1562.41
2005-08-11,1576.73
2005-08-12,1582.06
2005-08-16,1596.75
2005-08-17,1604.15
2005-08-18,1589.15
2005-08-19,1597.46
2005-08-22,1591.71
2005-08-23,1530.95
2005-08-24,1536.64
2005-08-25,1550.72
2005-08-26,1572.68
2005-08-29,1578.97
2005-08-30,1604.0
2005-08-31,1611.6
2005-09-01,1631.27
2005-09-02,1626.18
2005-09-05,1643.55
2005-09-06,1652.47
2005-09-08,1651.69
2005-09-09,1652.79
2005-09-12,1662.98
2005-09-13,1650.9
2005-09-14,1654.47
2005-09-15,1678.85
2005-09-16,1686.51
2005-09-19,1721.07
2005-09-20,1720.54
2005-09-21,1675.27
2005-09-22,1584.5
2005-09-23,1573.98
2005-09-26,1641.34
2005-09-27,1653.67
2005-09-28,1660.52
2005-09-29,1642.15
2005-09-30,1646.21
2005-10-03,1691.44
2005-10-04,1704.52
2005-10-05,1696.04
2005-10-06,1671.83
2005-10-07,1660.13
2005-10-10,1642.5
2005-10-11,1641.03
2005-10-13,1619.69
2005-10-14,1588.28
2005-10-17,1577.38
2005-10-18,1562.54
2005-10-19,1502.03
2005-10-20,1476.49
2005-10-21,1512.84
2005-10-24,1494.82
2005-10-25,1502.39
2005-10-26,1505.72
2005-10-27,1479.9
2005-10-28,1454.7
2005-10-31,1575.86
2005-11-01,1605.61
2005-11-02,1598.43
2005-11-07,1633.64
2005-11-08,1671.39
2005-11-09,1670.67
2005-11-10,1691.91
2005-11-11,1718.35
2005-11-14,1724.81
2005-11-16,1735.56
2005-11-17,1767.5
2005-11-18,1759.34
2005-11-21,1744.85
2005-11-22,1741.77
2005-11-23,1775.36
2005-11-24,1792.46
2005-11-25,1777.91
2005-11-26,1798.98
2005-11-28,1804.88
2005-11-29,1800.02
2005-11-30,1783.91
2005-12-01,1792.24
2005-12-02,1791.45
2005-12-05,1780.54
2005-12-06,1820.62
2005-12-07,1845.3
2005-12-08,1886.64
2005-12-09,1903.13
2005-12-12,1907.18
2005-12-13,1889.84
2005-12-14,1880.68
2005-12-15,1861.2
2005-12-16,1882.67
2005-12-19,1857.92
2005-12-20,1851.89
2005-12-21,1849.31
2005-12-22,1852.33
2005-12-23,1827.91
2005-12-26,1816.22
2005-12-27,1832.0
2005-12-28,1869.08
2005-12-29,1881.94
2005-12-30,1865.85
2006-01-02,1887.4
2006-01-03,1915.72
2006-01-04,1951.26
2006-01-05,1936.55
2006-01-06,1954.7
2006-01-09,1944.68
2006-01-10,1914.81
2006-01-12,1932.1
2006-01-13,1934.83
2006-01-16,1900.37
2006-01-17,1900.76
2006-01-18,1891.84
2006-01-19,1929.97
2006-01-20,1925.54
2006-01-23,1915.9
2006-01-24,1938.42
2006-01-25,1919.01
2006-01-27,1940.77
2006-01-30,1905.86
2006-01-31,1906.76
2006-02-01,1869.26
2006-02-02,1856.89
2006-02-03,1871.05
2006-02-06,1901.67
2006-02-07,1897.08
2006-02-08,1896.15
2006-02-10,1940.41
2006-02-13,1945.54
2006-02-14,1965.01
2006-02-15,1947.85
2006-02-16,1974.32
2006-02-17,1936.91
2006-02-20,1926.61
2006-02-21,1943.42
2006-02-22,1936.21
2006-02-23,1927.68
2006-02-24,1932.24
2006-02-27,1910.83
2006-02-28,1922.1
2006-03-01,1975.76
2006-03-02,1991.2
2006-03-03,1996.46
2006-03-06,2027.73
2006-03-07,2058.19
2006-03-08,2003.18
2006-03-09,2016.97
2006-03-10,2033.15
2006-03-13,2036.55
2006-03-14,2050.98
2006-03-16,2055.24
2006-03-17,2058.72
2006-03-20,2074.95
2006-03-21,2074.71
2006-03-22,2049.17
2006-03-23,2058.18
2006-03-24,2090.73
2006-03-27,2070.93
2006-03-28,2049.36
2006-03-29,2062.79
2006-03-30,2095.42
2006-03-31,2148.52
2006-04-03,2195.17
2006-04-04,2194.38
2006-04-05,2208.89
2006-04-07,2225.04
2006-04-10,2228.55
2006-04-12,2194.06
2006-04-13,2148.77
2006-04-17,2207.76
2006-04-18,2230.0
2006-04-19,2246.12
2006-04-20,2239.91
2006-04-21,2253.79
2006-04-24,2287.26
2006-04-25,2269.3
2006-04-26,2330.28
2006-04-27,2313.2
2006-04-28,2299.83
2006-04-29,2364.64
2006-05-02,2391.99
2006-05-03,2400.3
2006-05-04,2407.32
2006-05-05,2469.23
2006-05-08,2490.31
2006-05-09,2498.8
2006-05-10,2506.85
2006-05-11,2500.05
2006-05-12,2470.33
2006-05-15,2395.32
2006-05-16,2358.27
2006-05-17,2465.61
2006-05-18,2279.35
2006-05-19,2187.43
2006-05-22,1969.67
2006-05-23,2048.28
2006-05-24,2066.55
2006-05-25,2030.36
2006-05-26,2101.33
2006-05-29,2119.27
2006-05-30,2129.19
2006-05-31,2063.9
2006-06-01,2000.44
2006-06-02,2009.6
2006-06-05,1957.3
2006-06-06,1877.94
2006-06-07,1723.46
2006-06-08,1626.13
2006-06-09,1714.04
2006-06-12,1675.84
2006-06-13,1582.19
2006-06-14,1537.17
2006-06-15,1620.31
2006-06-16,1684.11
2006-06-19,1728.95
2006-06-20,1748.79
2006-06-21,1794.54
2006-06-22,1810.55
2006-06-23,1823.76
2006-06-25,1838.55
2006-06-26,1776.02
2006-06-27,1742.54
2006-06-28,1705.52
2006-06-29,1718.41
2006-06-30,1793.78
