date,NIFTY FMCG
1996-01-01,1000.0
1996-01-02,997.82
1996-01-03,991.42
1996-01-04,991.48
1996-01-05,986.17
1996-01-08,975.7
1996-01-09,972.73
1996-01-10,974.81
1996-01-11,977.78
1996-01-12,983.22
1996-01-15,979.09
1996-01-16,977.14
1996-01-17,978.49
1996-01-18,970.9
1996-01-19,964.2
1996-01-22,958.81
1996-01-23,940.0
1996-01-24,928.35
1996-01-25,920.82
1996-01-29,936.36
1996-01-30,953.68
1996-01-31,950.51
1996-02-01,968.4
1996-02-02,1012.03
1996-02-05,1040.4
1996-02-06,1025.73
1996-02-07,1023.68
1996-02-08,1062.19
1996-02-09,1085.56
1996-02-12,1098.65
1996-02-13,1114.44
1996-02-14,1138.92
1996-02-15,1146.77
1996-02-16,1123.26
1996-02-19,1119.08
1996-02-20,1093.01
1996-02-22,1114.7
1996-02-23,1115.11
1996-02-26,1113.33
1996-02-27,1109.72
1996-02-28,1107.37
1996-02-29,1076.35
1996-03-01,1080.04
1996-03-04,1075.04
1996-03-06,1076.78
1996-03-07,1059.71
1996-03-08,1046.54
1996-03-11,1037.04
1996-03-12,1035.19
1996-03-13,1062.08
1996-03-14,1065.99
1996-03-15,1062.8
1996-03-18,1049.31
1996-03-19,1043.18
1996-03-21,1047.36
1996-03-22,1030.99
1996-03-25,1018.4
1996-03-26,1029.86
1996-03-27,1035.7
1996-03-28,1053.57
1996-03-29,1047.15
1996-04-01,1053.41
1996-04-02,1070.44
1996-04-03,1078.99
1996-04-04,1088.18
1996-04-08,1109.3
1996-04-09,1106.32
1996-04-10,1104.97
1996-04-11,1095.81
1996-04-12,1096.9
1996-04-15,1105.44
1996-04-16,1140.76
1996-04-17,1186.13
1996-04-18,1202.01
1996-04-19,1208.65
1996-04-22,1184.64
1996-04-23,1185.18
1996-04-24,1215.78
1996-04-25,1214.98
1996-04-26,1209.87
1996-04-29,1204.85
1996-04-30,1200.3
1996-05-01,1217.8
1996-05-02,1211.5
