date,NIFTY HOUSING FINANCE
2018-04-02,1000.0
2018-04-03,1014.59
2018-04-04,1002.67
2018-04-05,1029.85
2018-04-06,1033.44
2018-04-09,1030.84
2018-04-10,1029.78
2018-04-11,1027.08
2018-04-12,1026.17
2018-04-13,1037.22
2018-04-16,1057.8
2018-04-17,1063.33
2018-04-18,1061.68
2018-04-19,1059.26
2018-04-20,1049.88
2018-04-23,1049.16
2018-04-24,1052.98
2018-04-25,1055.58
2018-04-26,1057.5
2018-04-27,1061.75
2018-04-30,1068.52
2018-05-02,1065.74
2018-05-03,1045.49
2018-05-04,1042.83
2018-05-07,1039.77
2018-05-08,1034.88
2018-05-09,1033.76
2018-05-10,1022.02
2018-05-11,1029.55
2018-05-14,1024.17
2018-05-15,1019.4
2018-05-16,1010.29
2018-05-17,1003.03
2018-05-18,988.16
2018-05-21,970.58
2018-05-22,969.88
2018-05-23,962.99
2018-05-24,963.71
2018-05-25,987.51
2018-05-28,1014.22
2018-05-29,1003.7
2018-05-30,1000.24
2018-05-31,1005.18
2018-06-01,1000.53
2018-06-04,983.2
2018-06-05,974.65
2018-06-06,993.96
2018-06-07,1005.94
2018-06-08,1004.99
2018-06-11,998.23
2018-06-12,1002.42
2018-06-13,996.94
2018-06-14,988.3
2018-06-15,984.37
2018-06-18,983.22
2018-06-19,969.7
2018-06-20,977.76
2018-06-21,981.32
2018-06-22,990.62
2018-06-25,993.54
2018-06-26,990.64
2018-06-27,985.22
2018-06-28,966.87
2018-06-29,967.42
2018-07-02,958.58
2018-07-03,965.16
2018-07-04,975.25
2018-07-05,983.09
2018-07-06,989.76
2018-07-09,990.28
2018-07-10,997.11
2018-07-11,997.22
2018-07-12,1004.03
2018-07-13,993.74
2018-07-16,979.61
2018-07-17,1004.37
2018-07-18,1016.87
2018-07-19,1015.24
2018-07-20,1014.7
2018-07-23,1021.02
2018-07-24,1040.14
2018-07-25,1046.99
2018-07-26,1050.22
2018-07-27,1060.38
2018-07-30,1056.8
2018-07-31,1037.78
2018-08-01,1028.59
2018-08-02,1031.23
2018-08-03,1061.45
2018-08-06,1066.97
2018-08-07,1066.23
2018-08-08,1064.34
2018-08-09,1062.18
2018-08-10,1049.69
2018-08-13,1034.7
2018-08-14,1045.1
2018-08-16,1030.44
2018-08-17,1041.8
2018-08-20,1053.55
2018-08-21,1059.25
2018-08-23,1055.87
2018-08-24,1053.53
2018-08-27,1045.15
2018-08-28,1047.34
2018-08-29,1049.18
2018-08-30,1043.68
2018-08-31,1039.6
2018-09-03,1039.83
2018-09-04,1019.75
2018-09-05,1013.79
2018-09-06,1018.96
2018-09-07,1013.81
2018-09-10,986.92
2018-09-11,969.64
2018-09-12,975.87
2018-09-14,1000.23
2018-09-17,987.45
2018-09-18,969.94
2018-09-19,963.55
2018-09-21,882.88
2018-09-24,841.13
2018-09-25,815.19
2018-09-26,820.13
2018-09-27,786.72
2018-09-28,773.16
2018-10-01,798.4
2018-10-03,793.13
2018-10-04,784.52
2018-10-05,754.97
2018-10-08,741.22
2018-10-09,751.29
2018-10-10,784.26
2018-10-11,752.4
2018-10-12,781.06
2018-10-15,790.22
2018-10-16,778.66
2018-10-17,738.72
2018-10-19,679.29
2018-10-22,681.39
2018-10-23,683.38
2018-10-24,700.65
2018-10-25,689.2
2018-10-26,684.52
2018-10-29,704.88
2018-10-30,706.3
2018-10-31,745.79
2018-11-01,758.82
2018-11-02,776.78
2018-11-05,760.98
2018-11-06,767.81
2018-11-07,771.41
2018-11-09,783.21
2018-11-12,782.07
2018-11-13,784.85
2018-11-14,794.5
2018-11-15,796.63
2018-11-16,783.56
2018-11-19,776.6
2018-11-20,767.54
2018-11-21,770.52
2018-11-22,758.39
2018-11-26,757.28
2018-11-27,763.73
2018-11-28,759.52
2018-11-29,762.96
2018-11-30,773.59
2018-12-03,780.02
2018-12-04,779.2
2018-12-05,769.51
2018-12-06,755.21
2018-12-07,753.75
2018-12-10,726.14
2018-12-11,737.3
2018-12-12,765.96
2018-12-13,781.72
2018-12-14,785.1
2018-12-17,788.93
2018-12-18,784.67
2018-12-19,814.31
2018-12-20,824.89
2018-12-21,814.47
2018-12-24,803.72
2018-12-26,811.39
2018-12-27,812.21
2018-12-28,820.68
2018-12-31,824.64
2019-01-01,827.33
2019-01-02,817.47
2019-01-03,805.66
2019-01-04,816.56
2019-01-07,800.67
2019-01-08,783.68
2019-01-09,775.15
2019-01-10,777.94
2019-01-11,779.77
2019-01-14,765.97
2019-01-15,777.21
2019-01-16,778.67
2019-01-17,781.25
2019-01-18,770.66
2019-01-21,762.24
2019-01-22,756.14
2019-01-23,751.22
2019-01-24,750.38
2019-01-25,738.62
2019-01-28,715.9
2019-01-29,711.3
2019-01-30,695.84
2019-01-31,692.96
2019-02-01,700.61
2019-02-04,692.05
2019-02-05,696.29
2019-02-06,703.77
2019-02-07,712.65
2019-02-08,697.76
2019-02-11,687.29
2019-02-12,684.14
2019-02-13,688.85
2019-02-14,700.16
2019-02-15,684.88
2019-02-18,681.38
2019-02-19,679.39
2019-02-20,689.42
2019-02-21,713.52
2019-02-22,717.09
2019-02-25,714.94
2019-02-26,702.75
2019-02-27,703.21
2019-02-28,703.6
2019-03-01,713.92
2019-03-05,739.65
2019-03-06,749.06
2019-03-07,739.74
2019-03-08,742.22
2019-03-11,754.33
2019-03-12,757.99
2019-03-13,755.88
2019-03-14,761.27
2019-03-15,761.77
2019-03-18,757.72
2019-03-19,759.03
2019-03-20,766.61
2019-03-22,766.01
2019-03-25,752.88
2019-03-26,762.91
2019-03-27,770.53
2019-03-28,790.94
2019-03-29,808.47
2019-04-01,816.82
2019-04-02,817.11
2019-04-03,823.39
2019-04-04,829.65
2019-04-05,843.08
2019-04-08,831.23
2019-04-09,825.95
2019-04-10,810.42
2019-04-11,813.7
2019-04-12,810.26
2019-04-15,805.56
2019-04-16,802.19
2019-04-18,783.68
2019-04-22,750.94
2019-04-23,749.37
2019-04-24,757.55
2019-04-25,751.91
2019-04-26,757.12
2019-04-30,736.38
2019-05-02,734.89
2019-05-03,743.44
2019-05-06,733.01
2019-05-07,724.18
2019-05-08,720.04
2019-05-09,719.41
2019-05-10,732.7
2019-05-13,715.89
2019-05-14,736.54
2019-05-15,726.89
2019-05-16,734.66
2019-05-17,745.34
2019-05-20,803.16
2019-05-21,799.84
2019-05-22,793.81
2019-05-23,793.3
2019-05-24,807.83
2019-05-27,813.4
2019-05-28,808.56
2019-05-29,808.25
2019-05-30,808.04
2019-05-31,808.64
2019-06-03,817.46
2019-06-04,817.92
2019-06-06,785.93
2019-06-07,783.49
2019-06-10,781.23
2019-06-11,768.66
2019-06-12,758.46
2019-06-13,769.88
2019-06-14,759.34
2019-06-17,746.1
2019-06-18,739.62
2019-06-19,726.3
2019-06-20,744.62
2019-06-21,741.72
2019-06-24,746.87
2019-06-25,750.04
2019-06-26,751.68
2019-06-27,760.24
2019-06-28,750.75
2019-07-01,761.01
2019-07-02,770.31
2019-07-03,785.95
2019-07-04,789.63
2019-07-05,792.99
2019-07-08,778.89
2019-07-09,779.43
2019-07-10,762.9
2019-07-11,770.98
2019-07-12,766.41
2019-07-15,750.06
2019-07-16,758.84
2019-07-17,766.46
2019-07-18,763.53
2019-07-19,748.01
2019-07-22,734.17
2019-07-23,737.63
2019-07-24,725.82
2019-07-25,726.8
2019-07-26,729.03
2019-07-29,707.22
2019-07-30,696.61
2019-07-31,702.35
2019-08-01,690.15
2019-08-02,682.47
2019-08-05,675.55
2019-08-06,692.4
2019-08-07,674.43
2019-08-08,673.66
2019-08-09,697.18
2019-08-13,695.96
2019-08-14,694.39
2019-08-16,692.89
2019-08-19,693.93
2019-08-20,677.78
2019-08-21,658.65
2019-08-22,627.09
2019-08-23,633.11
2019-08-26,654.55
2019-08-27,658.6
2019-08-28,653.04
2019-08-29,641.72
2019-08-30,650.45
2019-09-03,637.67
2019-09-04,640.84
2019-09-05,629.49
2019-09-06,626.37
2019-09-09,630.25
2019-09-11,632.55
2019-09-12,639.83
2019-09-13,634.33
2019-09-16,633.47
2019-09-17,619.9
2019-09-18,611.26
2019-09-19,597.37
2019-09-20,632.23
2019-09-23,648.73
2019-09-24,644.28
2019-09-25,630.41
2019-09-26,625.84
2019-09-27,612.26
2019-09-30,555.82
2019-10-01,556.95
2019-10-03,555.52
2019-10-04,547.76
2019-10-07,536.74
2019-10-09,543.51
2019-10-10,524.28
2019-10-11,525.66
2019-10-14,516.85
2019-10-15,510.87
2019-10-16,506.38
2019-10-17,523.32
2019-10-18,544.7
2019-10-22,535.84
2019-10-23,529.89
2019-10-24,524.04
2019-10-25,524.62
2019-10-27,531.41
2019-10-29,545.85
2019-10-30,543.8
2019-10-31,549.66
2019-11-01,560.52
2019-11-04,565.37
2019-11-05,563.78
2019-11-06,564.9
2019-11-07,581.65
2019-11-08,580.58
2019-11-11,577.28
2019-11-13,558.74
2019-11-14,558.16
2019-11-15,555.57
2019-11-18,557.77
2019-11-19,565.94
2019-11-20,563.59
2019-11-21,568.65
2019-11-22,575.06
2019-11-25,591.96
2019-11-26,592.64
2019-11-27,598.59
2019-11-28,626.75
2019-11-29,609.92
2019-12-02,611.56
2019-12-03,600.72
2019-12-04,605.98
2019-12-05,604.53
2019-12-06,584.87
2019-12-09,582.31
2019-12-10,579.41
2019-12-11,587.44
2019-12-12,595.42
2019-12-13,607.02
2019-12-16,607.61
2019-12-17,614.41
2019-12-18,611.06
2019-12-19,600.93
2019-12-20,600.5
2019-12-23,600.49
2019-12-24,600.85
2019-12-26,597.58
2019-12-27,604.54
2019-12-30,609.79
2019-12-31,612.22
2020-01-01,613.49
2020-01-02,635.28
2020-01-03,633.02
2020-01-06,604.44
2020-01-07,610.16
2020-01-08,608.56
2020-01-09,624.48
2020-01-10,622.38
2020-01-13,626.36
2020-01-14,624.7
2020-01-15,627.17
2020-01-16,634.39
2020-01-17,631.42
2020-01-20,626.78
2020-01-21,649.79
2020-01-22,643.96
2020-01-23,653.73
2020-01-24,645.07
2020-01-27,635.08
2020-01-28,637.28
2020-01-29,638.4
2020-01-30,627.77
2020-01-31,627.39
2020-02-01,592.09
2020-02-03,582.77
2020-02-04,594.76
2020-02-05,599.71
2020-02-06,634.22
2020-02-07,628.94
2020-02-10,621.06
2020-02-11,636.73
2020-02-12,633.8
2020-02-13,623.78
2020-02-14,619.59
2020-02-17,601.21
2020-02-18,591.99
2020-02-19,600.12
2020-02-20,613.96
2020-02-24,599.26
2020-02-25,595.22
2020-02-26,591.32
2020-02-27,584.33
2020-02-28,554.47
2020-03-02,554.14
2020-03-03,559.99
2020-03-04,551.22
2020-03-05,553.8
2020-03-06,524.22
2020-03-09,484.6
2020-03-11,476.93
2020-03-12,429.51
2020-03-13,446.44
2020-03-16,416.2
2020-03-17,408.63
2020-03-18,367.39
2020-03-19,335.58
2020-03-20,344.18
2020-03-23,301.1
2020-03-24,291.21
2020-03-25,303.34
2020-03-26,319.53
2020-03-27,325.33
2020-03-30,311.58
2020-03-31,321.19
2020-04-01,318.98
2020-04-03,304.01
2020-04-07,310.28
2020-04-08,312.98
2020-04-09,333.62
2020-04-13,322.59
2020-04-15,323.69
2020-04-16,338.23
2020-04-17,361.57
2020-04-20,368.61
2020-04-21,353.24
2020-04-22,350.23
2020-04-23,361.08
2020-04-24,341.71
2020-04-27,339.38
2020-04-28,355.9
2020-04-29,371.5
2020-04-30,377.83
2020-05-04,348.85
2020-05-05,341.52
2020-05-06,347.16
2020-05-07,347.91
2020-05-08,345.51
2020-05-11,343.72
2020-05-12,337.51
2020-05-13,352.51
2020-05-14,341.76
2020-05-15,339.01
2020-05-18,314.64
2020-05-19,319.8
2020-05-20,331.68
2020-05-21,330.4
2020-05-22,320.07
2020-05-26,315.44
2020-05-27,323.4
2020-05-28,327.32
2020-05-29,327.75
2020-06-01,342.9
2020-06-02,350.73
2020-06-03,356.31
2020-06-04,350.47
2020-06-05,361.59
2020-06-08,374.75
2020-06-09,374.12
2020-06-10,383.02
2020-06-11,377.45
2020-06-12,382.38
2020-06-15,375.71
2020-06-16,384.5
2020-06-17,388.92
2020-06-18,395.56
2020-06-19,421.43
2020-06-22,435.11
2020-06-23,434.12
2020-06-24,415.38
2020-06-25,425.72
2020-06-26,423.17
2020-06-29,413.65
2020-06-30,407.12
2020-07-01,421.26
2020-07-02,429.08
2020-07-03,429.11
2020-07-06,433.71
2020-07-07,436.07
2020-07-08,433.5
2020-07-09,437.52
2020-07-10,431.52
2020-07-13,428.76
2020-07-14,412.7
2020-07-15,411.14
2020-07-16,412.6
2020-07-17,416.2
2020-07-20,419.81
2020-07-21,425.11
2020-07-22,423.38
2020-07-23,431.05
2020-07-24,431.93
2020-07-27,424.74
2020-07-28,426.44
2020-07-29,425.37
2020-07-30,411.71
2020-07-31,409.55
2020-08-03,406.1
2020-08-04,408.6
2020-08-05,407.6
2020-08-06,410.03
2020-08-07,410.44
2020-08-10,422.08
2020-08-11,428.42
2020-08-12,428.74
2020-08-13,426.2
