date,NIFTY POWER
2005-04-01,1000.0
2005-04-04,994.69
2005-04-05,983.67
2005-04-06,992.84
2005-04-07,987.02
2005-04-08,975.26
2005-04-11,966.41
2005-04-12,979.85
2005-04-13,979.95
2005-04-15,960.58
2005-04-18,939.23
2005-04-19,950.75
2005-04-20,966.05
2005-04-21,981.85
2005-04-22,984.88
2005-04-25,989.26
2005-04-26,985.58
2005-04-27,971.85
2005-04-28,955.74
2005-04-29,948.07
2005-05-02,950.6
2005-05-03,954.18
2005-05-04,968.33
2005-05-05,970.65
2005-05-06,974.44
2005-05-09,986.35
2005-05-10,993.79
2005-05-11,988.56
2005-05-12,988.35
2005-05-13,992.49
2005-05-16,998.4
2005-05-17,976.91
2005-05-18,977.55
2005-05-19,977.67
2005-05-20,975.82
2005-05-23,980.72
2005-05-24,985.2
2005-05-25,989.73
2005-05-26,990.47
2005-05-27,997.67
2005-05-30,1001.42
2005-05-31,1016.67
2005-06-01,1016.22
2005-06-02,1005.45
2005-06-03,1017.79
2005-06-04,1028.6
2005-06-06,1040.16
2005-06-07,1048.2
2005-06-08,1055.79
2005-06-09,1058.21
2005-06-10,1046.92
2005-06-13,1043.4
2005-06-14,1048.29
2005-06-15,1053.47
2005-06-16,1040.77
2005-06-17,1025.53
2005-06-20,1042.89
2005-06-21,1049.54
2005-06-22,1053.27
2005-06-23,1054.65
2005-06-24,1062.99
2005-06-27,1063.88
2005-06-28,1046.87
2005-06-29,1048.96
2005-06-30,1049.2
2005-07-01,1070.32
2005-07-04,1092.08
2005-07-05,1071.45
2005-07-06,1094.65
2005-07-07,1079.98
2005-07-08,1102.0
2005-07-11,1115.11
2005-07-12,1106.74
2005-07-13,1115.03
2005-07-14,1121.13
2005-07-15,1125.65
2005-07-18,1135.59
2005-07-19,1126.88
2005-07-20,1142.63
2005-07-21,1128.4
2005-07-22,1136.48
2005-07-25,1144.41
2005-07-26,1129.38
2005-07-27,1127.35
2005-07-29,1101.26
2005-08-01,1134.93
2005-08-02,1155.35
2005-08-03,1140.53
2005-08-04,1146.95
2005-08-05,1173.34
2005-08-08,1161.68
2005-08-09,1151.24
2005-08-10,1167.66
2005-08-11,1169.54
2005-08-12,1161.78
2005-08-16,1168.9
2005-08-17,1187.45
2005-08-18,1185.58
2005-08-19,1179.48
2005-08-22,1174.97
2005-08-23,1153.96
2005-08-24,1147.23
2005-08-25,1157.93
2005-08-26,1168.43
2005-08-29,1163.86
2005-08-30,1187.3
2005-08-31,1196.18
2005-09-01,1214.66
2005-09-02,1219.88
2005-09-05,1215.69
2005-09-06,1213.36
2005-09-08,1219.91
2005-09-09,1209.72
2005-09-12,1218.11
2005-09-13,1226.03
2005-09-14,1210.11
2005-09-15,1218.41
2005-09-16,1225.13
2005-09-19,1225.89
2005-09-20,1211.43
2005-09-21,1202.13
2005-09-22,1138.09
2005-09-23,1145.66
2005-09-26,1189.69
