symbol,period,basis,taxonomy,src,type_sub,audited,period_start,period_end,filing_date,pbt,interest,pat,revenue,share_capital,reserves,equity,ok_ic,ok_roe,ctx_inferred,reasons,industry,fy,fin
3MINDIA,Annual,Consolidated,INDAS,legacy,Original,Audited,2018-04-01,2019-03-31,2019-06-25,5275389000.0,11226000.0,3661799000.0,30168224000.0,112651000.0,14215706000.0,14328357000.0,True,True,True,,SERVICES,2018,False
3MINDIA,Annual,Consolidated,INDAS,legacy,Original,Audited,2019-04-01,2020-03-31,2020-06-03,4325658000.0,36621000.0,3221692000.0,29865509000.0,112651000.0,17396076000.0,17508727000.0,True,True,True,,SERVICES,2019,False
3MINDIA,Annual,Consolidated,INDAS,legacy,Original,Audited,2020-04-01,2021-03-31,2021-05-28,2199216000.0,24541000.0,1623765000.0,26048314000.0,112651000.0,18990640000.0,19103291000.0,True,True,True,,SERVICES,2020,False
3MINDIA,Annual,Consolidated,INDAS,legacy,Original,Audited,2021-04-01,2022-03-31,2022-05-28,3675181000.0,37204000.0,2719711000.0,33358417000.0,112651000.0,21723077000.0,21835728000.0,True,True,True,,SERVICES,2021,False
3MINDIA,Annual,Consolidated,INDAS,legacy,Original,Audited,2022-04-01,2023-03-31,2023-05-31,,,,,112651000.0,16662054000.0,16774705000.0,False,False,False,"{""pbt"": ""no_context_match"", ""interest"": ""no_context_match"", ""pat"": ""no_context_match"", ""revenue"": ""no_context_match""}",SERVICES,2022,False
3MINDIA,Annual,Consolidated,INDAS,legacy,Original,Audited,2023-04-01,2024-03-31,2024-05-29,,,,,112651000.0,21356383000.0,21469034000.0,False,False,False,"{""pbt"": ""no_context_match"", ""interest"": ""no_context_match"", ""pat"": ""no_context_match"", ""revenue"": ""no_context_match""}",SERVICES,2023,False
3MINDIA,Quarterly,Consolidated,INDAS,legacy,Original,Un-Audited,2017-10-01,2017-12-31,2019-02-19,1691682000.0,1449000.0,1101916000.0,7915494000.0,112651000.0,,,True,False,True,"{""reserves"": ""missing_tag""}",SERVICES,2017,False
3MINDIA,Quarterly,Consolidated,INDAS,legacy,Original,Un-Audited,2018-07-01,2018-09-30,2019-02-19,1691682000.0,1449000.0,1101916000.0,7915494000.0,112651000.0,,,True,False,True,"{""reserves"": ""missing_tag""}",SERVICES,2018,False
3MINDIA,Quarterly,Consolidated,INDAS,legacy,Original,Un-Audited,2018-10-01,2018-12-31,2019-02-19,1691682000.0,1449000.0,1101916000.0,7915494000.0,112651000.0,,,True,False,True,"{""reserves"": ""missing_tag""}",SERVICES,2018,False
3MINDIA,Quarterly,Consolidated,INDAS,legacy,Original,Audited,2019-01-01,2019-03-31,2019-06-25,937926000.0,6341000.0,603171000.0,7428475000.0,112651000.0,14215706000.0,14328357000.0,True,True,True,,SERVICES,2018,False
3MINDIA,Quarterly,Consolidated,INDAS,legacy,Original,Un-Audited,2019-04-01,2019-06-30,2019-08-13,1385491000.0,8463000.0,901285000.0,8044952000.0,112651000.0,,,True,False,True,"{""reserves"": ""missing_tag""}",SERVICES,2019,False
3MINDIA,Quarterly,Consolidated,INDAS,legacy,Original,Un-Audited,2019-07-01,2019-09-30,2019-11-13,1256410000.0,7936000.0,1000076000.0,7635277000.0,112651000.0,,,True,False,True,"{""reserves"": ""missing_tag""}",SERVICES,2019,False
3MINDIA,Quarterly,Consolidated,INDAS,legacy,Original,Un-Audited,2019-10-01,2019-12-31,2020-02-11,964054000.0,11243000.0,719194000.0,7453758000.0,112651000.0,,,True,False,True,"{""reserves"": ""missing_tag""}",SERVICES,2019,False
3MINDIA,Quarterly,Consolidated,INDAS,legacy,Original,Audited,2020-01-01,2020-03-31,2020-06-03,719704000.0,8979000.0,601138000.0,6731522000.0,112651000.0,17396076000.0,17508727000.0,True,True,True,,SERVICES,2019,False
3MINDIA,Quarterly,Consolidated,INDAS,legacy,Original,Un-Audited,2020-04-01,2020-06-30,2020-08-13,-578410000.0,8304000.0,-425175000.0,3461794000.0,112651000.0,,,True,False,True,"{""reserves"": ""missing_tag""}",SERVICES,2020,False
3MINDIA,Quarterly,Consolidated,INDAS,legacy,Original,Un-Audited,2020-07-01,2020-09-30,2020-11-13,1021423000.0,4590000.0,750373000.0,6900048000.0,112651000.0,,,True,False,True,"{""reserves"": ""missing_tag""}",SERVICES,2020,False
