symbol,fy,industry,fy_start,fy_end,filing_date,basis,taxonomy,src,pat,pbt,interest,share_capital,reserves,equity,ctx_inferred,ok_roe
3MINDIA,2018,SERVICES,2018-04-01,2019-03-31,2019-06-25,Consolidated,INDAS,legacy,3661799000.0,5275389000.0,11226000.0,112651000.0,14215706000.0,14328357000.0,True,True
3MINDIA,2019,SERVICES,2019-04-01,2020-03-31,2020-06-03,Consolidated,INDAS,legacy,3221692000.0,4325658000.0,36621000.0,112651000.0,17396076000.0,17508727000.0,True,True
3MINDIA,2020,SERVICES,2020-04-01,2021-03-31,2021-05-28,Consolidated,INDAS,legacy,1623765000.0,2199216000.0,24541000.0,112651000.0,18990640000.0,19103291000.0,True,True
3MINDIA,2021,SERVICES,2021-04-01,2022-03-31,2022-05-28,Consolidated,INDAS,legacy,2719711000.0,3675181000.0,37204000.0,112651000.0,21723077000.0,21835728000.0,True,True
3MINDIA,2024,SERVICES,2024-04-01,2025-03-31,2025-05-28,Standalone,INTEGRATED_FILING_INDAS,integrated,4760674000.0,7734066000.0,111751000.0,112651000.0,0.0,112651000.0,False,True
3MINDIA,2025,SERVICES,2025-04-01,2026-03-31,2026-05-22,Standalone,INTEGRATED_FILING_INDAS,integrated,5223200000.0,8940300000.0,435000000.0,112700000.0,0.0,112700000.0,False,True
AARTIIND,2018,CHEMICALS,2018-04-01,2019-03-31,2019-09-12,Non-Consolidated,INDAS,legacy,4693000000.0,5777500000.0,1809600000.0,433300000.0,0.0,433300000.0,True,True
AARTIIND,2019,CHEMICALS,2019-04-01,2020-03-31,2020-06-08,Consolidated,INDAS,legacy,5467600000.0,6761800000.0,1247800000.0,871200000.0,28911400000.0,29782600000.0,True,True
AARTIIND,2020,CHEMICALS,2020-04-01,2021-03-31,2021-05-19,Consolidated,INDAS,legacy,5352200000.0,6645500000.0,863700000.0,871200000.0,34152700000.0,35023900000.0,True,True
AARTIIND,2021,CHEMICALS,2021-04-01,2022-03-31,2022-05-27,Consolidated,INDAS,legacy,13074200000.0,15268000000.0,1142900000.0,1812500000.0,57327000000.0,59139500000.0,True,True
AARTIIND,2025,CHEMICALS,2025-04-01,2026-03-31,2026-05-04,Consolidated,INTEGRATED_FILING_INDAS,integrated,4190600000.0,3648400000.0,3399300000.0,1812600000.0,57738700000.0,59551300000.0,False,True
AAVAS,2019,FINANCIAL SERVICES,2019-04-01,2020-03-31,2020-07-19,Consolidated,NBFC_INDAS,legacy,2490416000.0,3019364000.0,3560715000.0,783227000.0,20195925000.0,20979152000.0,True,True
AAVAS,2020,FINANCIAL SERVICES,2020-04-01,2021-03-31,2021-04-29,Consolidated,NBFC_INDAS,legacy,2889192000.0,3525536000.0,4582427000.0,785046000.0,23223057000.0,24008103000.0,True,True
AAVAS,2021,FINANCIAL SERVICES,2021-04-01,2022-03-31,2022-05-05,Consolidated,NBFC_INDAS,legacy,3551806000.0,4526893000.0,4775034000.0,789365000.0,27274938000.0,28064303000.0,True,True
AAVAS,2024,FINANCIAL SERVICES,2024-04-01,2025-03-31,2025-04-24,Standalone,INTEGRATED_FILING_NBFC_INDAS,integrated,5741082000.0,7325891000.0,10074684000.0,791537000.0,42816786000.0,43608323000.0,False,True
AAVAS,2025,FINANCIAL SERVICES,2025-04-01,2026-03-31,2026-05-05,Standalone,INTEGRATED_FILING_NBFC_INDAS,integrated,6548813000.0,8404409000.0,10948382000.0,792827000.0,49715628000.0,50508455000.0,False,True
ABCAPITAL,2020,FINANCIAL SERVICES,2020-04-01,2021-03-31,2021-05-15,Consolidated,NBFC_INDAS,legacy,11056500000.0,12772800000.0,39157600000.0,24152800000.0,113273000000.0,137425800000.0,True,True
ABCAPITAL,2024,FINANCIAL SERVICES,2024-04-01,2025-03-31,2025-05-13,Consolidated,INTEGRATED_FILING_NBFC_INDAS,integrated,34098900000.0,44260400000.0,96941800000.0,26070100000.0,277817100000.0,303887200000.0,False,True
ABCAPITAL,2025,FINANCIAL SERVICES,2025-04-01,2026-03-31,2026-05-04,Consolidated,INTEGRATED_FILING_NBFC_INDAS,integrated,38638000000.0,48197900000.0,116221900000.0,26196100000.0,318035000000.0,344231100000.0,False,True
ABFRL,2018,CONSUMER GOODS,2018-04-01,2019-03-31,2019-05-16,Non-Consolidated,INDAS,legacy,3212200000.0,1491000000.0,1874200000.0,7734800000.0,6554000000.0,14288800000.0,True,True
ABFRL,2019,CONSUMER GOODS,2019-04-01,2020-03-31,2020-07-21,Consolidated,INDAS,legacy,-1650200000.0,-328900000.0,4247100000.0,7739500000.0,2939400000.0,10678900000.0,True,True
ABFRL,2020,CONSUMER GOODS,2020-04-01,2021-03-31,2021-05-29,Consolidated,INDAS,legacy,-7360000000.0,-8372000000.0,5026000000.0,9150500000.0,17287400000.0,26437900000.0,True,True
ABFRL,2021,CONSUMER GOODS,2021-04-01,2022-03-31,2022-05-19,Consolidated,INDAS,legacy,-1183600000.0,-1449300000.0,3507100000.0,9382900000.0,18350130000.0,27733030000.0,True,True
ABFRL,2024,CONSUMER GOODS,2024-04-01,2025-03-31,2025-05-24,Consolidated,INTEGRATED_FILING_INDAS,integrated,-4558200000.0,-7183800000.0,5673900000.0,12202600000.0,55918900000.0,68121500000.0,False,True
ABFRL,2025,CONSUMER GOODS,2025-04-01,2026-03-31,2026-05-25,Consolidated,INTEGRATED_FILING_INDAS,integrated,-8298900000.0,-9281300000.0,5156800000.0,12205400000.0,0.0,12205400000.0,False,True
ACC,2024,CEMENT & CEMENT PRODUCTS,2024-04-01,2025-03-31,2025-04-25,Consolidated,INTEGRATED_FILING_INDAS,integrated,24022700000.0,31239900000.0,1082200000.0,1879900000.0,0.0,1879900000.0,False,True
ACC,2025,CEMENT & CEMENT PRODUCTS,2025-04-01,2026-03-31,2026-04-30,Consolidated,INTEGRATED_FILING_INDAS,integrated,21372300000.0,21497000000.0,1120500000.0,1879900000.0,203625500000.0,205505400000.0,False,True
ADANIGREEN,2018,POWER,2018-04-01,2019-03-31,2019-06-25,Consolidated,INDAS,legacy,-4750559000.0,-5846553000.0,11211756000.0,15640143000.0,-7240059000.0,8400084000.0,True,True
ADANIGREEN,2019,POWER,2019-04-01,2020-03-31,2020-07-19,Consolidated,INDAS,legacy,-679634000.0,-498911000.0,9947668000.0,15640143000.0,-8007890000.0,7632253000.0,True,True
ADANIGREEN,2020,POWER,2020-04-01,2021-03-31,2021-05-06,Consolidated,INDAS,legacy,1820000000.0,1870000000.0,19530000000.0,15640000000.0,-7030000000.0,8610000000.0,True,True
ADANIGREEN,2021,POWER,2021-04-01,2022-03-31,2022-05-04,Consolidated,INDAS,legacy,4890000000.0,5520000000.0,26170000000.0,15640000000.0,-3760000000.0,11880000000.0,True,True
ADANIGREEN,2024,POWER,2024-04-01,2025-03-31,2025-04-28,Consolidated,INTEGRATED_FILING_INDAS,integrated,20010000000.0,17710000000.0,54920000000.0,15840000000.0,91290000000.0,107130000000.0,False,True
ADANIGREEN,2025,POWER,2025-04-01,2026-03-31,2026-04-24,Consolidated,INTEGRATED_FILING_INDAS,integrated,19870000000.0,15840000000.0,64840000000.0,16470000000.0,176430000000.0,192900000000.0,False,True
ADANIPORTS,2018,SERVICES,2018-04-01,2019-03-31,2019-10-18,Consolidated,INDAS,legacy,40447500000.0,51262800000.0,13851900000.0,4141900000.0,0.0,4141900000.0,True,True
ADANIPORTS,2019,SERVICES,2019-04-01,2020-03-31,2020-05-06,Non-Consolidated,INDAS,legacy,19342500000.0,20317300000.0,17518800000.0,4063500000.0,194588200000.0,198651700000.0,True,True
ADANIPORTS,2020,SERVICES,2020-04-01,2021-03-31,2021-05-05,Consolidated,INDAS,legacy,50487400000.0,63062800000.0,22552900000.0,4063500000.0,302219100000.0,306282600000.0,True,True
ADANIPORTS,2021,SERVICES,2021-04-01,2022-03-31,2022-05-25,Consolidated,INDAS,legacy,47952400000.0,53483100000.0,25405800000.0,4224700000.0,378275300000.0,382500000000.0,True,True
ADANIPORTS,2024,SERVICES,2024-04-01,2025-03-31,2025-05-01,Consolidated,INTEGRATED_FILING_INDAS,integrated,110612600000.0,128880600000.0,28126700000.0,4320300000.0,620033600000.0,624353900000.0,False,True
ADANIPORTS,2025,SERVICES,2025-04-01,2026-03-31,2026-04-30,Consolidated,INTEGRATED_FILING_INDAS,integrated,127820300000.0,145909400000.0,46539800000.0,4607900000.0,956645100000.0,961253000000.0,False,True
ADANIPOWER,2020,POWER,2020-04-01,2021-03-31,2021-05-06,Consolidated,INDAS,legacy,12699800000.0,22887400000.0,51063300000.0,38569400000.0,-33593500000.0,4975900000.0,True,True
ADANIPOWER,2021,POWER,2021-04-01,2022-03-31,2022-05-05,Consolidated,INDAS,legacy,49115800000.0,65771300000.0,40947800000.0,38569400000.0,16315000000.0,54884400000.0,True,True
ADANIPOWER,2024,POWER,2024-04-01,2025-03-31,2025-04-30,Consolidated,INTEGRATED_FILING_INDAS,integrated,127496100000.0,163595100000.0,33397900000.0,38569400000.0,494332300000.0,532901700000.0,False,True
ADANIPOWER,2025,POWER,2025-04-01,2026-03-31,2026-04-29,Consolidated,INTEGRATED_FILING_INDAS,integrated,129710800000.0,154995100000.0,33668300000.0,38569400000.0,0.0,38569400000.0,False,True
ADVENZYMES,2018,CONSUMER GOODS,2018-04-01,2019-03-31,2019-06-24,Consolidated,INDAS,legacy,1159030000.0,1619640000.0,38700000.0,223300000.0,6565150000.0,6788450000.0,True,True
ADVENZYMES,2019,CONSUMER GOODS,2019-04-01,2020-03-31,2020-06-04,Consolidated,INDAS,legacy,1330490000.0,1791570000.0,30360000.0,223360000.0,8173170000.0,8396530000.0,True,True
ADVENZYMES,2020,CONSUMER GOODS,2020-04-01,2021-03-31,2021-05-30,Consolidated,INDAS,legacy,1514640000.0,2103710000.0,15940000.0,223460000.0,9483100000.0,9706560000.0,True,True
ADVENZYMES,2021,CONSUMER GOODS,2021-04-01,2022-03-31,2022-05-20,Consolidated,INDAS,legacy,1237990000.0,1710580000.0,17960000.0,223600000.0,10662330000.0,10885930000.0,True,True
ADVENZYMES,2024,CONSUMER GOODS,2024-04-01,2025-03-31,2025-05-13,Consolidated,INTEGRATED_FILING_INDAS,integrated,1339740000.0,1873640000.0,35570000.0,223760000.0,13984870000.0,14208630000.0,False,True
ADVENZYMES,2025,CONSUMER GOODS,2025-04-01,2026-03-31,2026-05-09,Consolidated,INTEGRATED_FILING_INDAS,integrated,1736080000.0,2325360000.0,26280000.0,223850000.0,16095720000.0,16319570000.0,False,True
AFFLE,2019,IT,2019-04-01,2020-03-31,2020-08-21,Consolidated,INDAS,legacy,655170000.0,792250000.0,14220000.0,254960000.0,2036630000.0,2291590000.0,True,True
AFFLE,2020,IT,2020-04-01,2021-03-31,2021-05-31,Consolidated,INDAS,legacy,1350370000.0,1479210000.0,36350000.0,254960000.0,3332620000.0,3587580000.0,True,True
AFFLE,2021,IT,2021-04-01,2022-03-31,2022-05-14,Consolidated,INDAS,legacy,2146920000.0,2452810000.0,70770000.0,266500000.0,11514650000.0,11781150000.0,True,True
AFFLE,2024,IT,2024-04-01,2025-03-31,2025-05-10,Consolidated,INTEGRATED_FILING_INDAS,integrated,3818690000.0,4676370000.0,125910000.0,280710000.0,29183860000.0,29464570000.0,False,True
AFFLE,2025,IT,2025-04-01,2026-03-31,2026-05-09,Consolidated,INTEGRATED_FILING_INDAS,integrated,4548510000.0,5586670000.0,52620000.0,281200000.0,36240930000.0,36522130000.0,False,True
AIAENG,2019,INDUSTRIAL MANUFACTURING,2019-04-01,2020-03-31,2020-06-23,Consolidated,INDAS,legacy,5903201000.0,7187243000.0,55875000.0,188641000.0,36824223000.0,37012864000.0,True,True
AIAENG,2020,INDUSTRIAL MANUFACTURING,2020-04-01,2021-03-31,2021-05-26,Consolidated,INDAS,legacy,5657064000.0,7296479000.0,42931000.0,188641000.0,42254504000.0,42443145000.0,True,True
AIAENG,2021,INDUSTRIAL MANUFACTURING,2021-04-01,2022-03-31,2022-05-25,Consolidated,INDAS,legacy,6196180000.0,7812685000.0,38504000.0,188641000.0,47360960000.0,47549601000.0,True,True
AIAENG,2024,INDUSTRIAL MANUFACTURING,2024-04-01,2025-03-31,2025-05-23,Consolidated,INTEGRATED_FILING_INDAS,integrated,10600737000.0,13566789000.0,210913000.0,186641000.0,69083343000.0,69269984000.0,False,True
AIAENG,2025,INDUSTRIAL MANUFACTURING,2025-04-01,2026-03-31,2026-05-26,Consolidated,INTEGRATED_FILING_INDAS,integrated,12689314000.0,15778585000.0,365072000.0,186641000.0,80066842000.0,80253483000.0,False,True
AJANTPHARM,2018,PHARMA,2018-04-01,2019-03-31,2019-05-08,Consolidated,INDAS,legacy,3869700000.0,5142700000.0,11600000.0,175400000.0,22276700000.0,22452100000.0,True,True
AJANTPHARM,2019,PHARMA,2019-04-01,2020-03-31,2020-06-05,Consolidated,INDAS,legacy,4677000000.0,6639700000.0,119100000.0,175400000.0,25813300000.0,25988700000.0,True,True
AJANTPHARM,2020,PHARMA,2020-04-01,2021-03-31,2021-05-01,Consolidated,INDAS,legacy,6538700000.0,9001800000.0,82700000.0,173900000.0,29782400000.0,29956300000.0,True,True
AJANTPHARM,2021,PHARMA,2021-04-01,2022-03-31,2022-05-11,Consolidated,INDAS,legacy,7126800000.0,9094800000.0,102000000.0,171700000.0,32471800000.0,32643500000.0,True,True
AJANTPHARM,2024,PHARMA,2024-04-01,2025-03-31,2025-04-30,Consolidated,INTEGRATED_FILING_INDAS,integrated,9203900000.0,11891600000.0,207300000.0,250700000.0,37652200000.0,37902900000.0,False,True
AJANTPHARM,2025,PHARMA,2025-04-01,2026-03-31,2026-05-05,Consolidated,INTEGRATED_FILING_INDAS,integrated,10560000000.0,13776500000.0,161100000.0,250700000.0,45020200000.0,45270900000.0,False,True
ALKEM,2018,PHARMA,2018-04-01,2019-03-31,2019-06-27,Consolidated,INDAS,legacy,7736400000.0,9546600000.0,546300000.0,239100000.0,54154300000.0,54393400000.0,True,True
ALKEM,2019,PHARMA,2019-04-01,2020-03-31,2020-06-10,Consolidated,INDAS,legacy,11493100000.0,12597900000.0,650600000.0,239100000.0,0.0,239100000.0,True,True
ALKEM,2020,PHARMA,2020-04-01,2021-03-31,2021-05-25,Non-Consolidated,INDAS,legacy,16850800000.0,18843000000.0,429300000.0,239100000.0,76018400000.0,76257500000.0,True,True
ALKEM,2021,PHARMA,2021-04-01,2022-03-31,2022-05-13,Consolidated,INDAS,legacy,16803168000.0,18442768000.0,523700000.0,239100000.0,86139900000.0,86379000000.0,True,True
ALKEM,2024,PHARMA,2024-04-01,2025-03-31,2025-05-29,Consolidated,INTEGRATED_FILING_INDAS,integrated,22153800000.0,25270300000.0,1217000000.0,239100000.0,119609600000.0,119848700000.0,False,True
ALKEM,2025,PHARMA,2025-04-01,2026-03-31,2026-05-28,Consolidated,INTEGRATED_FILING_INDAS,integrated,23511610000.0,28708900000.0,1607800000.0,239100000.0,0.0,239100000.0,False,True
