sym,annual,annual_oldest,qtr,qtr_oldest,bs,edates,edate_oldest
RELIANCE,5,2022-03-31,5,2025-03-31,5,25,2020-10-30
TCS,4,2023-03-31,6,2024-12-31,5,25,2020-10-07
HDFCBANK,5,2022-03-31,3,2024-12-31,4,25,2020-10-17
SUNPHARMA,4,2023-03-31,5,2025-03-31,5,25,2020-11-03
TATASTEEL,5,2022-03-31,5,2025-06-30,5,25,2020-11-13
INFY,5,2022-03-31,7,2024-12-31,5,25,2020-10-14
ITC,5,2022-03-31,6,2024-12-31,5,25,2020-11-06
LT,5,2022-03-31,6,2024-12-31,5,25,2020-10-28
MARUTI,5,2022-03-31,5,2025-03-31,5,25,2020-10-29
ONGC,4,2023-03-31,5,2025-06-30,5,25,2020-11-13
WIPRO,5,2022-03-31,7,2024-12-31,5,25,2020-10-13
AXISBANK,5,2022-03-31,5,2025-03-31,5,25,2020-10-28
