month,rows
2021-01,481
2021-02,1293
2021-03,942
2021-04,271
2021-05,987
2021-06,1355
2021-07,687
2021-08,1441
2021-09,1118
2021-10,680
2021-11,1670
2021-12,942
2022-01,742
2022-02,1339
2022-03,0
2022-04,0
2022-05,0
2022-06,0
2022-07,0
2022-08,0
2022-09,0
2022-10,0
2022-11,0
2022-12,298
2023-01,1024
2023-02,2808
2023-03,1180
2023-04,591
2023-05,2919
2023-06,1915
2023-07,1171
2023-08,2812
2023-09,1507
2023-10,1311
2023-11,3224
2023-12,1081
2024-01,1354
2024-02,3457
2024-03,1330
2024-04,741
2024-05,3424
2024-06,1574
2024-07,1412
2024-08,3159
2024-09,1562
2024-10,1531
2024-11,3476
2024-12,1075
2025-01,1560
2025-02,3123
2025-03,1408
2025-04,718
2025-05,3553
2025-06,1592
2025-07,1540
2025-08,3312
2025-09,1523
2025-10,1240
2025-11,3908
2025-12,956
2026-01,1590
2026-02,3424
2026-03,1229
2026-04,804
2026-05,3782
2026-06,1799
2026-07,1637
2026-08,3442
2026-09,1300
