trade_id,symbol,filing_date,filing_timestamp,signal_date,entry_date,entry_price,exit_date,exit_price,holding_days,SUE,SUE_bucket,sector,sector_group,size_group,filing_timing_group,priority_rank,slot,entry_reason,exit_reason,gross_return,transaction_cost,cost,net_return,portfolio_weight,portfolio_pnl
TR_00001,SHREECEM,2021-08-09,2021-08-09 18:24:00,2021-08-10,2021-08-11,26650.97,2021-11-09,28623.87,60,2.0312,5,Commercial & Industrial,Non-Financials,Large,Mid,1,1,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.074027,0.00585,0.00585,0.068177,0.033333,0.002273
TR_00002,POWERGRID,2021-08-11,2021-08-11 16:18:00,2021-08-12,2021-08-13,106.78,2021-11-11,107.46,60,10.013,5,Commercial & Industrial,Non-Financials,Large,Mid,1,2,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.006321,0.00585,0.00585,0.000471,0.033333,1.6e-05
TR_00003,HINDALCO,2021-08-11,2021-08-11 17:24:00,2021-08-12,2021-08-13,422.84,2021-11-11,438.83,60,3.0824,5,Commercial & Industrial,Non-Financials,Large,Mid,2,3,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.037837,0.00585,0.00585,0.031987,0.033333,0.001066
TR_00004,ASTERDM,2021-08-12,2021-08-12 13:15:00,2021-08-12,2021-08-13,125.3,2021-11-11,153.66,60,2.5115,5,Commercial & Industrial,Non-Financials,Small,Mid,3,4,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.226341,0.00585,0.00585,0.220491,0.033333,0.00735
TR_00005,SUPRAJIT,2021-08-12,2021-08-12 09:28:00,2021-08-12,2021-08-13,308.39,2021-11-11,351.4,60,1.8477,5,Commercial & Industrial,Non-Financials,Small,Mid,4,5,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.139477,0.00585,0.00585,0.133627,0.033333,0.004454
TR_00006,PTC,2021-08-12,2021-08-12 11:55:00,2021-08-12,2021-08-13,65.21,2021-11-11,84.22,60,1.6833,5,Commercial & Industrial,Non-Financials,Small,Mid,5,6,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.291496,0.00585,0.00585,0.285646,0.033333,0.009521
TR_00007,CUMMINSIND,2021-08-12,2021-08-12 16:38:00,2021-08-13,2021-08-16,914.81,2021-11-12,858.83,60,3.8741,5,Commercial & Industrial,Non-Financials,Large,Mid,1,7,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.06119,0.00585,0.00585,-0.06704,0.033333,-0.002235
TR_00008,TATASTEEL,2021-08-12,2021-08-12 18:59:00,2021-08-13,2021-08-16,127.97,2021-11-12,111.01,60,2.5487,5,Commercial & Industrial,Non-Financials,Large,Mid,2,8,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.132581,0.00585,0.00585,-0.138431,0.033333,-0.004614
TR_00009,GRASIM,2021-08-13,2021-08-13 15:05:00,2021-08-13,2021-08-16,1460.06,2021-11-12,1810.3,60,2.3036,5,Commercial & Industrial,Non-Financials,Large,Mid,3,9,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.239876,0.00585,0.00585,0.234026,0.033333,0.007801
TR_00010,KNRCON,2021-08-12,2021-08-12 16:45:00,2021-08-13,2021-08-16,285.11,2021-11-12,283.06,60,2.0313,5,Commercial & Industrial,Non-Financials,Mid,Mid,4,10,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.007163,0.00585,0.00585,-0.013013,0.033333,-0.000434
TR_00011,SUNDRMFAST,2021-08-12,2021-08-12 16:46:00,2021-08-13,2021-08-16,753.74,2021-11-12,793.16,60,1.9948,5,Commercial & Industrial,Non-Financials,Small,Mid,5,11,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.052299,0.00585,0.00585,0.046449,0.033333,0.001548
TR_00012,REDINGTON,2021-08-13,2021-08-13 13:07:00,2021-08-13,2021-08-16,150.96,2021-11-12,127.37,60,1.8469,5,Commercial & Industrial,Non-Financials,Mid,Mid,6,12,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.156263,0.00585,0.00585,-0.162113,0.033333,-0.005404
TR_00013,ALLCARGO,2021-08-13,2021-08-13 22:40:00,2021-08-16,2021-08-17,52.51,2021-11-15,85.62,60,3.889,5,Commercial & Industrial,Non-Financials,Mid,Late,1,13,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.630651,0.00585,0.00585,0.624801,0.033333,0.020826
TR_00014,FORTIS,2021-08-13,2021-08-13 18:22:00,2021-08-16,2021-08-17,255.57,2021-11-15,274.38,60,3.5836,5,Commercial & Industrial,Non-Financials,Mid,Late,2,14,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.073606,0.00585,0.00585,0.067756,0.033333,0.002259
TR_00015,TIINDIA,2021-08-13,2021-08-13 21:17:00,2021-08-16,2021-08-17,1251.63,2021-11-15,1709.57,60,2.5031,5,Commercial & Industrial,Non-Financials,Mid,Late,3,15,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.365873,0.00585,0.00585,0.360023,0.033333,0.012001
TR_00016,THYROCARE,2021-08-13,2021-08-13 18:36:00,2021-08-16,2021-08-17,393.99,2021-11-15,352.65,60,2.3739,5,Commercial & Industrial,Non-Financials,Mid,Late,4,16,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.104921,0.00585,0.00585,-0.110771,0.033333,-0.003692
TR_00017,VESUVIUS,2021-08-13,2021-08-13 17:47:00,2021-08-16,2021-08-17,117.84,2021-11-15,120.65,60,2.3625,5,Commercial & Industrial,Non-Financials,Small,Late,5,17,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.023816,0.00585,0.00585,0.017966,0.033333,0.000599
TR_00018,ECLERX,2021-08-13,2021-08-13 21:13:00,2021-08-16,2021-08-17,795.49,2021-11-15,820.26,60,2.2586,5,Commercial & Industrial,Non-Financials,Small,Late,6,18,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.031136,0.00585,0.00585,0.025286,0.033333,0.000843
TR_00019,IGL,2021-08-14,2021-08-14 13:03:00,2021-08-16,2021-08-17,241.07,2021-11-15,228.06,60,2.0178,5,Commercial & Industrial,Non-Financials,Large,Late,7,19,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.053966,0.00585,0.00585,-0.059816,0.033333,-0.001994
TR_00020,TCS,2021-10-08,2021-10-08 22:08:00,2021-10-11,2021-10-12,3219.4,2022-01-07,3353.95,60,2.048,5,Commercial & Industrial,Non-Financials,Large,Early,1,20,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.041795,0.00585,0.00585,0.035945,0.033333,0.001198
TR_00021,INFY,2021-10-13,2021-10-13 18:01:00,2021-10-14,2021-10-18,1515.49,2022-01-12,1649.7,60,2.3805,5,Commercial & Industrial,Non-Financials,Large,Early,1,21,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.088557,0.00585,0.00585,0.082707,0.033333,0.002757
TR_00022,IEX,2021-10-21,2021-10-21 19:53:00,2021-10-22,2021-10-25,238.37,2022-01-19,240.27,60,3.5036,5,Commercial & Industrial,Non-Financials,Large,Early,1,22,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.007946,0.00585,0.00585,0.002096,0.033333,7e-05
TR_00023,JSWSTEEL,2021-10-22,2021-10-22 14:58:00,2021-10-22,2021-10-25,636.78,2022-01-19,641.2,60,1.7256,5,Commercial & Industrial,Non-Financials,Large,Early,2,23,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.00694,0.00585,0.00585,0.00109,0.033333,3.6e-05
TR_00024,TATAELXSI,2021-10-23,2021-10-23 14:19:00,2021-10-25,2021-10-26,5531.98,2022-01-20,7056.67,60,5.7384,5,Commercial & Industrial,Non-Financials,Mid,Early,1,24,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.275614,0.00585,0.00585,0.269764,0.033333,0.008992
TR_00025,RAMCOCEM,2021-10-25,2021-10-25 16:01:00,2021-10-26,2021-10-27,1000.88,2022-01-21,927.45,60,4.3716,5,Commercial & Industrial,Non-Financials,Mid,Mid,1,25,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.073361,0.00585,0.00585,-0.079211,0.033333,-0.00264
TR_00026,SANOFI,2021-10-27,2021-10-27 11:56:00,2021-10-27,2021-10-28,6608.86,2022-01-24,5733.59,60,17.2224,5,Commercial & Industrial,Non-Financials,Small,Mid,1,26,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.132438,0.00585,0.00585,-0.138288,0.033333,-0.00461
TR_00027,BSOFT,2021-10-27,2021-10-27 09:22:00,2021-10-27,2021-10-28,381.21,2022-01-24,421.26,60,1.8836,5,Commercial & Industrial,Non-Financials,Mid,Mid,2,27,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.10508,0.00585,0.00585,0.09923,0.033333,0.003308
TR_00028,MAHSCOOTER,2021-10-26,2021-10-26 15:36:00,2021-10-27,2021-10-28,4090.59,2022-01-24,3258.43,60,1.8591,5,Commercial & Industrial,Non-Financials,Small,Mid,3,28,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.203433,0.00585,0.00585,-0.209283,0.033333,-0.006976
