year,n,excluded,passed
2005,5,-0.014581224024270992,0.006075510010112905
2006,12,-0.010851184093529205,0.004651511240425686
2007,12,-0.050301975112504727,0.023073851627354175
2008,12,0.004143325344863153,-0.001912304005321451
2009,12,0.032825456546389666,-0.01515021071371831
2010,12,-0.015367052555667242,0.007092485794923344
2011,12,-0.011258245583734455,0.0051961133463389875
2012,12,-0.006634928761045402,0.003062274812790179
2013,12,-0.04250502562534549,0.01961770413477484
2014,12,-0.00044833279308872513,0.0002069228275794078
2015,12,-0.010003429844605656,0.004616967620587222
2016,12,-0.005625991199247639,0.002596611322729694
2017,12,0.013735570716481025,-0.006339494176837404
2018,12,-0.006767958699017448,0.0029324941709086686
2019,12,-0.02266990933596934,0.009715675429701148
2020,12,-0.009028975794885874,0.003877661900003316
2021,12,0.006368299809692335,-0.0028871386622583294
2022,12,-0.016921135600269015,0.007402996825117689
2023,12,-0.02497558392071098,0.010926817965311052
2024,12,0.005768384217597012,-0.0025236680951986877
2025,12,-0.0003160821298764206,0.00013828593182093596
2026,4,0.004865729613506112,-0.0021287567059089215
