N,M,universe,top,top_vs_uni,top_minus_mid,mid_vs_uni,bot_vs_uni,top_vs_uni_2006,folds_tvu_pos
20,20,0.131,0.415,0.284,0.314,-0.03,-0.244,0.292,63.6
20,40,0.306,0.62,0.314,0.233,0.081,-0.388,0.328,45.5
20,60,0.444,0.757,0.313,0.154,0.159,-0.479,0.285,59.1
20,90,0.855,1.183,0.327,-0.154,0.481,-0.842,0.286,59.1
40,20,0.129,0.343,0.213,0.199,0.014,-0.221,0.225,63.6
40,40,0.299,0.514,0.215,0.034,0.181,-0.399,0.208,59.1
40,60,0.43,0.683,0.253,-0.005,0.259,-0.527,0.23,63.6
40,90,0.846,1.407,0.561,0.333,0.228,-0.796,0.497,63.6
60,20,0.128,0.218,0.09,-0.006,0.096,-0.194,0.101,59.1
60,40,0.281,0.457,0.175,-0.018,0.194,-0.375,0.144,59.1
60,60,0.411,0.674,0.262,0.073,0.189,-0.446,0.207,68.2
60,90,0.833,1.29,0.457,0.251,0.207,-0.656,0.336,54.5
90,20,0.1,0.212,0.111,0.028,0.083,-0.206,0.101,63.6
90,40,0.256,0.412,0.156,-0.002,0.158,-0.338,0.111,59.1
90,60,0.399,0.639,0.24,0.012,0.228,-0.489,0.16,68.2
90,90,0.826,1.393,0.566,0.292,0.274,-0.845,0.416,63.6
